證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"1721","三晃","692753","10167986","14.60","14.80","14.45","14.80","0.2000","442"
"1722","台肥","1865350","117509321","62.80","63.30","62.60","63.20","0.1000","1144"
"1723","中碳","802511","90037738","113.00","113.00","112.00","112.00","-1.0000","795"
"1725","元禎","1012332","46724353","44.40","47.75","44.35","45.80","0.7500","834"
"1726","永記","46249","3796236","81.70","83.20","81.20","81.80","-0.7000","50"
"1727","中華化","459142","13096553","28.45","29.10","28.25","28.85","0.1500","345"
"1730","花仙子","21400","1202170","56.20","56.20","56.10","56.20","0.0000","29"
"1731","美吾華","230792","5661365","24.50","24.65","24.35","24.60","0.1000","166"
"1732","毛寶","102979","2931720","28.80","28.80","28.30","28.50","0.1000","112"
"1733","五鼎","220127","7111592","32.30","32.45","32.00","32.35","0.0500","215"
"1734","杏輝","325395","11804013","36.40","36.45","36.00","36.35","0.0000","284"
"1735","日勝化","31375","553079","17.65","17.65","17.50","17.60","0.0500","16"
"1736","喬山","1000441","88363248","90.10","90.10","87.20","87.30","-2.8000","1053"
"1737","臺鹽","126476","4305290","34.20","34.20","33.95","34.05","-0.0500","201"
"1752","南光","3801774","209976952","54.80","56.70","54.10","55.40","1.2000","2667"
"1760","寶齡富錦","102092","9725693","95.10","95.70","94.70","95.40","0.3000","156"
"1762","中化生","181778","8478009","46.60","47.25","46.15","46.85","0.0000","341"
"1773","勝一","285807","45286021","158.00","159.00","157.00","158.50","0.0000","383"
"1776","展宇","90731","1657175","18.35","18.45","18.15","18.25","-0.1000","85"
"1783","和康生","156363","6605184","42.50","42.55","42.00","42.35","-0.1500","160"
"1786","科妍","228431","22352533","98.20","99.00","97.10","97.60","-0.5000","273"
"1789","神隆","694067","19513937","28.25","28.30","28.00","28.15","-0.2000","497"
"1795","美時","2661402","746226107","280.00","283.00","278.00","280.00","-1.0000","3798"
"1802","台玻","6141034","105909988","17.50","17.50","17.10","17.20","-0.4500","2591"
"1805","寶徠","193734","3635077","18.70","18.90","18.40","18.85","0.1500","158"
"1806","冠軍","504942","5470476","10.85","10.95","10.70","10.80","0.0500","281"
"1808","潤隆","1505296","154209825","102.00","104.00","100.50","102.50","0.0000","1424"
"1809","中釉","20790436","601158469","29.00","29.80","27.80","28.50","-0.8500","10149"
"1810","和成","33614038","709969109","20.50","22.25","20.20","20.35","-0.3000","16033"
"1817","凱撒衛","146888","5749757","39.10","39.50","39.00","39.15","0.0500","150"
"1903","士紙","779576","48666947","62.00","63.60","61.00","63.40","1.5000","611"
"1904","正隆","1066733","30610648","28.80","28.80","28.60","28.65","-0.1500","726"
"1905","華紙","2197987","48799645","22.30","22.35","22.00","22.20","-0.1000","1170"
"1906","寶隆","217464","3533428","16.20","16.45","16.10","16.25","-0.1000","273"
"1907","永豐餘","1105374","32999790","29.95","29.95","29.70","29.85","-0.1000","778"
"1909","榮成","3090905","44475015","14.50","14.55","14.30","14.40","-0.1000","975"
"2002","中鋼","29989779","721707565","24.15","24.20","24.00","24.00","-0.1500","13371"
"2002A","中鋼特","18276","793009","43.35","43.50","43.25","43.40","-0.0500","21"
"2006","東和鋼鐵","1106803","76836478","69.10","69.90","68.80","69.60","0.5000","910"
"2007","燁興","1611630","18863777","11.75","11.80","11.55","11.75","-0.2500","770"
"2008","高興昌","65903","1624301","24.70","24.70","24.60","24.70","0.1000","47"
"2009","第一銅","14756502","788926416","53.50","54.60","52.60","53.40","-0.6000","8939"
"2010","春源","889757","17968103","20.20","20.30","20.00","20.20","-0.2000","544"
"2012","春雨","24432","572719","23.50","23.50","23.40","23.50","0.0000","60"
"2013","中鋼構","62333","3611911","57.80","58.20","57.60","58.00","0.0000","94"
"2014","中鴻","4072269","90905155","22.20","22.55","22.10","22.40","0.0500","1975"
"2015","豐興","102902","7251289","70.40","70.60","70.40","70.50","-0.5000","120"
"2017","官田鋼","929524","13465003","14.55","14.55","14.35","14.55","0.0000","452"
"2020","美亞","916343","36488866","39.70","40.15","39.40","40.05","0.3500","680"
"2022","聚亨","791342","9415655","11.90","12.05","11.60","11.90","-0.1500","454"
"2023","燁輝","937468","14383251","15.30","15.45","15.20","15.40","0.0500","556"
"2024","志聯","35111","793649","22.50","22.70","22.50","22.70","0.2000","107"
"2025","千興","1451941","16842274","11.40","11.80","11.35","11.60","0.1500","499"
"2027","大成鋼","10365917","398323022","38.80","38.80","38.25","38.25","-1.1000","12513"
"2028","威致","228821","6130605","26.95","26.95","26.65","26.70","-0.2500","185"
"2029","盛餘","402989","11257707","28.00","28.05","27.80","28.00","0.0000","249"
