證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"2706","第一店","620356","9863355","16.00","16.00","15.80","15.85","-0.1500","317"
"2707","晶華","762693","170915934","223.00","226.50","222.00","222.50","-4.0000","733"
"2712","遠雄來","27110","825135","30.55","30.60","30.20","30.20","-0.3500","22"
"2722","夏都","256349","15003202","59.50","59.50","58.10","58.10","-1.4000","475"
"2723","美食-KY","837410","76108471","92.20","92.20","90.40","90.50","-1.3000","671"
"2727","王品","540478","129982710","242.50","242.50","239.50","240.00","0.0000","2308"
"2731","雄獅","1372589","211631973","156.50","156.50","152.50","153.50","-2.5000","1334"
"2739","寒舍","1447943","97503479","68.70","69.00","66.10","67.00","-0.7000","2222"
"2748","雲品","311192","21866816","71.30","71.30","69.90","69.90","-1.2000","387"
"2753","八方雲集","172870","28660602","167.00","167.00","165.00","165.50","-1.5000","334"
"2762","世界健身-KY","370511","34765176","94.70","94.80","93.40","93.60","0.0000","483"
"2801","彰銀","22472628","408875770","18.20","18.35","18.10","18.10","-0.2500","4698"
"2809","京城銀","14539444","921344559","61.40","64.00","61.40","63.00","2.0000","6919"
"2812","台中銀","5830160","107726066","18.60","18.60","18.35","18.45","-0.1500","2904"
"2816","旺旺保","973162","33354366","34.30","34.85","33.85","33.85","-0.3500","500"
"2820","華票","1025916","15839147","15.40","15.55","15.35","15.40","-0.0500","418"
"2832","台產","452777","12834787","28.30","28.50","28.25","28.25","-0.2500","255"
"2834","臺企銀","20677489","354997014","17.25","17.30","17.10","17.10","-0.2000","6156"
"2836","高雄銀","3768210","44515412","11.80","11.85","11.80","11.80","0.0000","818"
"2836A","高雄銀甲特","6001","126923","21.15","21.15","21.15","21.15","0.0000","5"
"2838","聯邦銀","1912535","30242540","15.80","15.90","15.75","15.80","-0.0500","668"
"2838A","聯邦銀甲特","44075","2349603","53.40","53.40","53.30","53.40","0.0000","20"
"2845","遠東銀","4652539","72321798","15.60","15.65","15.50","15.50","-0.2000","1504"
"2849","安泰銀","132570","1901476","14.25","14.40","14.25","14.35","0.0500","82"
"2850","新產","1906818","181846585","96.00","96.40","94.80","95.20","-0.4000","1744"
"2851","中再保","8503189","237269636","28.25","28.30","27.55","27.90","-0.3000","2423"
"2852","第一保","1352284","33625474","25.20","25.25","24.65","24.80","-0.6500","667"
"2855","統一證","4649805","129213564","27.55","28.00","27.35","27.90","0.1000","2608"
