date,url,pic_url,title,src
2024-06-07 18:15,https://money.udn.com/money/story/5612/8017378?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/06/realtime/29769575.jpg&s=Y&x=0&y=0&sw=4680&sh=3080&sl=W&fw=300&exp=3600,受惠晶片法案繳稅下降？台積電澄清：繳稅仍年成長,經濟日報 記者尹慧中/台北即時報導
2024-06-08 01:33,https://money.udn.com/money/story/5612/8017866?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/07/realtime/29780575.jpg&s=Y&x=0&y=14&sw=1181&sh=786&sl=W&fw=300&exp=3600,SK集團會長訪魏哲家 卡位HBM4晶片商機,經濟日報 編譯黃淑玲、記者鐘惠玲／綜合報導
2024-06-07 22:06,https://money.udn.com/money/story/5612/8017637?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/07/2/29780298.jpg&s=Y&x=0&y=0&sw=1277&sh=852&sl=W&fw=300&exp=3600,整理包／AI 九巨頭 COMPUTEX 演講精華！黃仁勳力挺台鏈、蘇姿丰推最新AI晶片較勁輝達,經濟日報 新聞部編輯中心／數位編輯林宜萱整理
2024-06-08 01:26,https://money.udn.com/money/story/11162/8017783?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/07/realtime/29780511.jpg&s=Y&x=0&y=0&sw=944&sh=621&sl=W&fw=300&exp=3600,蘇姿丰表示台灣扮半導體鏈要角 宏碁董座陳俊聖分享智慧城市應用,經濟日報 記者吳秉鍇／台南報導
2024-06-07 19:17,https://money.udn.com/money/story/5612/8017483?from=edn_hottestlist_rank,https://udn.com/upf/2017_news/noimg_cid1001_5.jpg,振曜股東會／通過配發4元現金股利 新任董事長由宗緒福擔任,經濟日報 記者黃晶琳／即時報導
2024-06-08 01:03,https://money.udn.com/money/story/10871/8017711?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/08/2/29780509.jpg&s=Y&x=50&y=50&sw=480&sh=320&exp=3600,運價漲不停 亞歐線最熱,經濟日報 記者邱馨儀／台北報導
2024-06-07 23:30,https://money.udn.com/money/story/5612/8017867?from=edn_hottestlist_rank,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/06/07/2/29780577.jpg&s=Y&x=50&y=50&sw=480&sh=320&exp=3600,被員工評為苛刻老闆 「AI教父」黃仁勳：形容得非常準確,經濟日報 天下雜誌
2024-06-07 15:45,https://money.udn.com/money/story/5612/8016981?from=edn_hottestlist_rank,https://udn.com/upf/2017_news/noimg_cid1001_0.jpg,經濟部投資台灣事務所 再添3家中小企業擴大投資台灣,經濟日報 記者余弦妙／即時報導
2024-06-08 01:05,https://money.udn.com/money/story/10871/8017708?from=edn_hottestlist_rank,https://udn.com/upf/2017_news/noimg_cid1001_6.jpg,台塑四寶下季景氣 審慎樂觀,經濟日報 記者謝柏宏／台北報導
2024-06-07 19:03,https://money.udn.com/money/story/5612/8017471?from=edn_hottestlist_rank,https://udn.com/upf/2017_news/noimg_cid1001_9.jpg,逸達前列腺癌藥美國市場銷量創新高 月增30%、年增84%,經濟日報 記者謝柏宏／即時報導
2024-06-07 16:19,https://money.udn.com/money/story/5612/8017056?from=edn_hottestlist_rank,https://udn.com/upf/2017_news/noimg_cid1001_1.jpg,光寶攜手雲達 展示「NVIDIA GB200 NVL72 機櫃電源」解決方案,經濟日報 記者劉芳妙／台北即時報導
